WGSID,OHIO_ID,PROJECT_ID,DATE_ASSIGNED
2023ZN-0000,START,START,20231220
2023ZN-0001,2023023212,OH-M6588-231201,20231220
2023ZN-0002,2023023215,OH-M6588-231201,20231220
2023ZN-0003,2023023219,OH-M6588-231201,20231220
2023ZN-0004,2023023240,OH-M6588-231201,20231220
2023ZN-0005,2023023246,OH-M6588-231201,20231220
2023ZN-0006,2023023247,OH-M6588-231201,20231220
2023ZN-0007,2023023248,OH-M6588-231201,20231220
2023ZN-0008,2023023266,OH-M6588-231201,20231220
2023ZN-0009,2023023267,OH-M6588-231201,20231220
2023ZN-0010,2023023268,OH-M6588-231201,20231220
2023ZN-0011,2023023269,OH-M6588-231201,20231220
2023ZN-0012,2023023270,OH-M6588-231201,20231220
2023ZN-0013,2023023271,OH-M6588-231201,20231220
2023ZN-0014,2023023272,OH-M6588-231201,20231220
2023ZN-0015,2023023273,OH-M6588-231201,20231220
2023ZN-0016,2023023274,OH-M6588-231201,20231220
2023ZN-0017,2023023275,OH-M6588-231201,20231220
2023ZN-0018,2023023276,OH-M5185-231208,20231222
2023ZN-0019,2023023277,OH-M5185-231208,20231222
2023ZN-0020,2023023290,OH-M5185-231208,20231222
2023ZN-0021,2023023291,OH-M5185-231208,20231222
2023ZN-0022,2023023292,OH-M5185-231208,20231228
2023ZN-0023,2023023296,OH-M5185-231208,20231228
2023ZN-0024,2023023302,OH-M5185-231208,20231228
2023ZN-0025,2023023320,OH-M5185-231208,20231228
2023ZN-0026,2023023361,OH-M5185-231208,20231228
2023ZN-0027,2023023362,OH-M5185-231208,20231228
2023ZN-0028,2023023368,OH-M5185-231208,20231228
2023ZN-0029,2023023370,OH-M5185-231208,20231228
2023ZN-0030,2023023379,OH-M5185-231208,20231228
2023ZN-0031,2023023382,OH-M5185-231208,20231228
