WGSID,OHIO_ID,PROJECT_ID,DATE_ASSIGNED
2023ZN-0000,START,START,START
2023ZN-0001,2023023212,OH-M6588-231201,20231220
2023ZN-0002,2023023215,OH-M6588-231201,20231220
2023ZN-0003,2023023219,OH-M6588-231201,20231220
2023ZN-0004,2023023240,OH-M6588-231201,20231220
2023ZN-0005,2023023246,OH-M6588-231201,20231220
2023ZN-0006,2023023247,OH-M6588-231201,20231220
2023ZN-0007,2023023248,OH-M6588-231201,20231220
2023ZN-0008,2023023266,OH-M6588-231201,20231220
2023ZN-0009,2023023267,OH-M6588-231201,20231220
2023ZN-0010,2023023268,OH-M6588-231201,20231220
2023ZN-0011,2023023269,OH-M6588-231201,20231220
2023ZN-0012,2023023270,OH-M6588-231201,20231220
2023ZN-0013,2023023271,OH-M6588-231201,20231220
2023ZN-0014,2023023272,OH-M6588-231201,20231220
2023ZN-0015,2023023273,OH-M6588-231201,20231220
2023ZN-0016,2023023274,OH-M6588-231201,20231220
2023ZN-0017,2023023275,OH-M6588-231201,20231220
2023ZN-0018,2023023276,OH-M5185-231208,20231222
2023ZN-0019,2023023277,OH-M5185-231208,20231222
2023ZN-0020,2023023290,OH-M5185-231208,20231222
2023ZN-0021,2023023291,OH-M5185-231208,20231222
2023ZN-0022,2023023292,OH-M5185-231208,20231228
2023ZN-0023,2023023296,OH-M5185-231208,20231228
2023ZN-0024,2023023302,OH-M5185-231208,20231228
2023ZN-0025,2023023320,OH-M5185-231208,20231228
2023ZN-0026,2023023361,OH-M5185-231208,20231228
2023ZN-0027,2023023362,OH-M5185-231208,20231228
2023ZN-0028,2023023368,OH-M5185-231208,20231228
2023ZN-0029,2023023370,OH-M5185-231208,20231228
2023ZN-0030,2023023379,OH-M5185-231208,20231228
2023ZN-0031,2023023382,OH-M5185-231208,20231228
2023ZN-0032,2023023397,OH-M5185-231215,20240103
2023ZN-0033,2023023423,OH-M5185-231215,20240103
2023ZN-0034,2023023424,OH-M5185-231215,20240103
2023ZN-0035,2023023425,OH-M5185-231215,20240103
2023ZN-0036,2023023426,OH-M5185-231215,20240103
2023ZN-0037,2023023427,OH-M5185-231215,20240103
2023ZN-0038,2023023429,OH-M5185-231215,20240103
2023ZN-0039,2023023430,OH-M5185-231215,20240103
2023ZN-0040,2023023437,OH-M5185-231215,20240103
2023ZN-0041,2023023458,OH-M5185-231215,20240103
2023ZN-0042,2023023460,OH-M5185-231215,20240103
2023ZN-0043,2023023461,OH-M5185-231215,20240103
2023ZN-0044,2023023462,OH-M5185-231215,20240103
2023ZN-0045,2023023463,OH-M5185-231215,20240103
2023ZN-0046,2023023464,OH-M5185-231215,20240103
2023ZN-0047,2023023465,OH-M5185-231215,20240103
2023ZN-0048,2023023435,OH-M6588-231215,20240111
2023ZN-0049,2023023448,OH-M6588-231215,20240111
2023ZN-0050,2023023466,OH-M6588-231215,20240111
2023ZN-0051,2023023467,OH-M6588-231215,20240111
2023ZN-0052,2023023475,OH-M6588-231215,20240111
2023ZN-0053,2023023501,OH-M6588-231215,20240111
2023ZN-0054,2023023502,OH-M6588-231215,20240111
2023ZN-0055,2023023503,OH-M6588-231215,20240111
2023ZN-0056,2023023506,OH-M6588-231215,20240111
2023ZN-0057,2023023516,OH-M6588-231215,20240111
2023ZN-0058,2023023538,OH-M6588-231215,20240111
2023ZN-0059,2023023540,OH-M6588-231215,20240111
2023ZN-0060,2023023541,OH-M6588-231215,20240111
2023ZN-0061,2023023542,OH-M6588-231215,20240111
2023ZN-0062,2023023543,OH-M6588-231215,20240111
2023ZN-0063,24AR000317-M6588-240205;PASS;0;55.42;5108514;-1,VH01632-240205,20240208
2023ZN-0064,24AR000335-M6588-240205;PASS;0;85.80;3812940;-1,VH01632-240205,20240208
2023ZN-0065,24AR000336-M6588-240205;PASS;0;79.53;3976461;-1,VH01632-240205,20240208
2023ZN-0066,24AR000337-M6588-240205;PASS;0;44.89;3886414;-1,VH01632-240205,20240208
2023ZN-0067,24AR000338-M6588-240205;PASS;0;79.70;3844853;-1,VH01632-240205,20240208
2023ZN-0068,24AR000339-M6588-240205;PASS;0;85.20;3775660;-1,VH01632-240205,20240208
2023ZN-0069,2023020436-M6588-240205;PASS;0;73.03;3880965;-1,VH01632-240205,20240208
2023ZN-0070,2023021045-M6588-240205;PASS;0;74.32;3918636;-1,VH01632-240205,20240208
2023ZN-0071,24AR000340-M6588-240205;PASS;0;57.31;3943916;-1,VH01632-240205,20240208
2023ZN-0072,24AR000344-M6588-240205;PASS;0;58.49;3996467;-1,VH01632-240205,20240208
2023ZN-0073,24AR000358-M6588-240205;PASS;0;32.70;4785714;-1,VH01632-240205,20240208
2023ZN-0074,24AR000359-M6588-240205;PASS;0;37.93;3937131;-1,VH01632-240205,20240208
2023ZN-0075,24AR000362-M6588-240205;PASS;0;39.92;4034537;-1,VH01632-240205,20240208
2023ZN-0076,24AR000363-M6588-240205;PASS;0;80.45;3984426;-1,VH01632-240205,20240208
2023ZN-0077,24AR000364-M6588-240205;PASS;0;57.03;3835270;-1,VH01632-240205,20240208
